Model,N_dense,N_active,N_total,D1,D2,Loss
16x_44m,0.0442488,0.07743792,0.54200496,2.3068672,4.6137344,2.745042
16x_0.1b,0.09832384,0.17207104,1.20439744,2.3068672,9.2274688,2.580977
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,18.4549376,2.445262
16x_15m,0.01475168,0.02581664,0.18068576,2.3068672,2.3068672,2.985561
16x_15m,0.01475168,0.02581664,0.18068576,2.3068672,0.4325376,3.135708
16x_44m,0.0442488,0.07743792,0.54200496,2.3068672,1.1534336,2.888642
16x_0.1b,0.09832384,0.17207104,1.20439744,2.3068672,2.3068672,2.748848
16x_15m,0.01475168,0.02581664,0.18068576,2.3068672,0.2883584,3.166993
16x_44m,0.0442488,0.07743792,0.54200496,2.3068672,0.5767168,2.946826
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,2.3068672,2.713851
16x_15m,0.01475168,0.02581664,0.18068576,2.3068672,0.5767168,3.1054
16x_0.1b,0.09832384,0.17207104,1.20439744,2.3068672,1.1534336,2.819201
16x_44m,0.0442488,0.07743792,0.54200496,2.3068672,0.8650752,2.914887
16x_15m,0.01475168,0.02581664,0.18068576,2.3068672,1.1534336,3.043738
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,1.7301504,2.742466
16x_0.1b,0.09832384,0.17207104,1.20439744,2.3068672,4.6137344,2.672678
16x_44m,0.0442488,0.07743792,0.54200496,2.3068672,2.3068672,2.823766
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,1.1534336,2.777002
16x_0.1b,0.09832384,0.17207104,1.20439744,2.3068672,1.7301504,2.781239
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,9.2274688,2.578116
16x_0.2b,0.23262304,0.407098432,2.849509312,2.3068672,4.6137344,2.649653
16x_15m,0.01475168,0.01475456,0.18068576,2.3068672,2.3068672,3.245512
16x_44m,0.0442488,0.04425456,0.54200496,2.3068672,4.6137344,2.962611
16x_0.1b,0.09832384,0.09833344,1.20439744,2.3068672,9.2274688,2.712058
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,18.4549376,2.535661
16x_15m,0.01475168,0.01475456,0.18068576,2.3068672,0.5767168,3.250872
16x_15m,0.01475168,0.01475456,0.18068576,2.3068672,0.2883584,3.257847
16x_44m,0.0442488,0.04425456,0.54200496,2.3068672,1.1534336,3.025648
16x_15m,0.01475168,0.01475456,0.18068576,2.3068672,0.4325376,3.257249
16x_0.1b,0.09832384,0.09833344,1.20439744,2.3068672,1.7301504,2.838764
16x_44m,0.0442488,0.04425456,0.54200496,2.3068672,2.3068672,2.998582
16x_15m,0.01475168,0.01475456,0.18068576,2.3068672,1.1534336,3.239847
16x_44m,0.0442488,0.04425456,0.54200496,2.3068672,0.8650752,3.026221
16x_0.1b,0.09832384,0.09833344,1.20439744,2.3068672,4.6137344,2.765482
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,1.7301504,2.80481
16x_44m,0.0442488,0.04425456,0.54200496,2.3068672,0.5767168,3.034604
16x_0.1b,0.09832384,0.09833344,1.20439744,2.3068672,2.3068672,2.819092
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,1.1534336,2.83239
16x_0.1b,0.09832384,0.09833344,1.20439744,2.3068672,1.1534336,2.859252
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,2.3068672,2.772918
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,9.2274688,2.640302
16x_0.2b,0.23262304,0.232640512,2.849509312,2.3068672,4.6137344,2.707189
16x_15m,0.01475168,0.0479408,0.18068576,2.3068672,2.3068672,2.949767
16x_44m,0.0442488,0.14380464,0.54200496,2.3068672,4.6137344,2.702902
16x_0.1b,0.09832384,0.31954624,1.20439744,2.3068672,9.2274688,2.515162
16x_0.2b,0.23262304,0.756014272,2.849509312,2.3068672,18.4549376,2.374998
16x_15m,0.01475168,0.0479408,0.18068576,2.3068672,0.4325376,3.10456
16x_15m,0.01475168,0.0479408,0.18068576,2.3068672,0.2883584,3.139715
16x_44m,0.0442488,0.14380464,0.54200496,2.3068672,1.1534336,2.850154
16x_15m,0.01475168,0.0479408,0.18068576,2.3068672,0.5767168,3.072826
16x_44m,0.0442488,0.14380464,0.54200496,2.3068672,0.5767168,2.913166
16x_15m,0.01475168,0.0479408,0.18068576,2.3068672,1.1534336,3.009509
16x_44m,0.0442488,0.14380464,0.54200496,2.3068672,0.8650752,2.87802
16x_44m,0.0442488,0.14380464,0.54200496,2.3068672,2.3068672,2.783507
16x_0.1b,0.09832384,0.31954624,1.20439744,2.3068672,2.3068672,2.676219
4x_15m,0.01475168,0.01475456,0.0479408,0.2883584,2.3068672,3.192472
4x_15m,0.01475168,0.01475456,0.0479408,0.4325376,2.3068672,3.185419
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,4.6137344,2.886052
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,9.2274688,2.675759
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,4.6137344,2.901038
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,9.2274688,2.675438
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,4.6137344,2.899131
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,9.2274688,2.671771
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,4.6137344,2.896576
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,4.6137344,2.87902
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,9.2274688,2.66356
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,9.2274688,2.651456
4x_15m,0.01475168,0.01475456,0.0479408,0.4325376,0.2883584,3.355856
4x_15m,0.01475168,0.01475456,0.0479408,0.5767168,0.5767168,3.304311
4x_15m,0.01475168,0.01475456,0.0479408,0.5767168,1.5859712000000001,3.226092
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,2.3068672,2.996043
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,1.1534336,2.760564
4x_15m,0.01475168,0.01475456,0.0479408,0.4325376,1.1534336,3.264699
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,2.3068672,3.001932
4x_15m,0.01475168,0.01475456,0.0479408,0.2883584,0.2883584,3.39768
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,4.6137344,2.748675
4x_15m,0.01475168,0.01475456,0.0479408,0.5767168,0.2883584,3.335252
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,0.8650752,3.065984
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,1.1534336,2.914306
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,0.8650752,3.103211
4x_15m,0.01475168,0.01475456,0.0479408,0.5767168,1.1534336,3.258807
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,0.5767168,3.023112
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,1.1534336,2.801281
4x_15m,0.01475168,0.01475456,0.0479408,0.5767168,0.4325376,3.322314
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,0.5767168,2.976512
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,2.3068672,2.742552
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,1.1534336,3.07698
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,2.3068672,2.776852
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,0.8650752,3.085533
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,1.7301504,2.790267
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,2.3068672,2.972354
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,1.1534336,3.003675
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,4.6137344,2.704542
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,1.7301504,2.8311
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,2.3068672,2.990744
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,2.3068672,2.83334
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,1.1534336,2.966652
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,1.1534336,2.880505
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,2.3068672,2.941649
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,1.7301504,2.857411
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,1.1534336,3.048969
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,1.7301504,2.87978
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,1.1534336,3.072633
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,0.5767168,3.137782
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,1.7301504,2.753025
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,0.8650752,3.013351
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,2.3068672,2.847991
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,0.8650752,2.973427
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,2.3068672,2.811496
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,0.5767168,3.105163
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,0.5767168,3.078354
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,4.6137344,2.729423
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,4.6137344,2.758488
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,4.6137344,2.760993
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,1.1534336,2.850478
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,18.4549376,2.497221
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,1.7301504,2.768927
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,9.2274688,2.584738
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,2.3068672,2.745162
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,4.6137344,2.67218
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,1.1534336,2.794894
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,1.1534336,3.210952
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.4325376,3.25232
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.2883584,3.24997
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.5767168,3.238614
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,2.3068672,3.160591
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,2.3068672,2.914993
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,4.6137344,2.676241
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,9.2274688,2.488634
32x_0.2b,0.23262304,0.756014272,5.640836032,2.3068672,18.4549376,2.365249
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,1.1534336,2.980306
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.4325376,3.085679
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.2883584,3.124801
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.5767168,3.049983
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,0.8650752,2.863638
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,1.1534336,2.833728
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,0.5767168,2.90251
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,2.3068672,2.761517
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,1.1534336,2.75841
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,1.7301504,2.707068
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,4.6137344,2.576927
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,2.3068672,2.66871
32x_0.2b,0.23262304,0.756014272,5.640836032,2.3068672,2.3068672,2.635024
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,2.3068672,3.103441
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,2.3068672,3.100603
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,4.6137344,2.830141
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,2.3068672,3.093353
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,2.3068672,3.080097
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,4.6137344,2.824135
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,2.3068672,3.065
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,9.2274688,2.622886
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,4.6137344,2.819951
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,4.6137344,2.804955
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,9.2274688,2.620105
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,4.6137344,2.788157
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,9.2274688,2.613722
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,9.2274688,2.601891
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,9.2274688,2.586214
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,0.2883584,3.231441
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,0.5767168,3.016461
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,2.3068672,2.706498
